code,discount
BWH25GMU6GRE,- 1.1%
BWH2068TVOPV,- 2.82%
BWH25AQH2CMQ,- 5.97%
BWH2EMB8VSLX,- 3.58%
BWH21RHEBIJ3,- 4.28%
BWH2OJA9WE0O,- 5.39%
BWH2NGYHJ0KF,- 1.98%
BWH26FXH3HIQ,- 6.25%
BWH2XKYRDYCN,- 1.78%
BWH2AO5XCNJT,- 4.04%
